periódicos, scielo_url, publicador, status
"International Journal of Combinatorial Optimization Problems and Informatics", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-1558&lng=en", "EDITADA (EDITorial Academica Dragon Azteca, S. de R.L. de C.V. or Aztec Dragon Academic Publishing)", "suspended"
"International Microbiology", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1139-6709&lng=en", "Sociedad Española de Microbiología", "suspended"
"Investigação Operacional", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0874-5161&lng=en", "APDIO - Associação Portuguesa de Investigação Operacional", "suspended"
"Investigación en educación médica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-5057&lng=en", "Universidad Nacional Autónoma de México, Facultad de Medicina", "suspended"
"Investigaciones Andina", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0124-8146&lng=en", "Fundación Universitaria del Área Andina - FUNANDI", "suspended"
"Investigaciones marinas", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7178&lng=en", "Escuela de Ciencias del Mar. Pontificia Universidad Católica de Valparaíso", "deceased"
"Iuris Tantum Revista Boliviana de Derecho", "http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2070-8157&lng=en", "Fundación Iuris Tantum", "suspended"
"Jornal da Sociedade Brasileira de Fonoaudiologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-6491&lng=en", "Sociedade Brasileira de Fonoaudiologia", "deceased"
"Jornal de Pneumologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3586&lng=en", "Sociedade Brasileira de Pneumologia e Tisiologia", "deceased"
"Jornal Português de Gastrenterologia", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0872-8178&lng=en", "Sociedade Portuguesa de Gastrenterologia", "deceased"
"Journal of applied research and technology", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-6423&lng=en", "UNAM, Centro de Ciencias Aplicadas y Desarrollo Tecnológico", "suspended"
"Journal of behavior, health & social issues (México)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-0780&lng=en", "Asociación Mexicana de Comportamiento y Salud, A.C.", "suspended"
"Journal of Epilepsy and Clinical Neurophysiology", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1676-2649&lng=en", "Liga Brasileira de Epilepsia (LBE)", "suspended"
"Journal of the Brazilian Computer Society", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6500&lng=en", "Sociedade Brasileira de Computação", "suspended"
"Journal of the Brazilian Society of Mechanical Sciences", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-7386&lng=en", "The Brazilian Society of Mechanical Sciences", "deceased"
"Journal of the Brazilian Society of Mechanical Sciences and Engineering", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-5878&lng=en", "Associação Brasileira de Engenharia e Ciências Mecânicas - ABCM", "suspended"
"Journal of Transport Literature", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2238-1031&lng=en", "Sociedade Brasileira de Planejamento dos Transportes", "suspended"
"Journal of Venomous Animals and Toxins", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-7930&lng=en", "Centro de Estudos de Venenos e Animais Peçonhentos - CEVAP, Universidade Estadual Paulista - UNESP", "deceased"
"Kurtziana", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-5962&lng=en", "Museo Botánico", "deceased"
"La ventana. Revista de estudios de género", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-9436&lng=en", "Universidad de Guadalajara, Centro de Estudios de Género", "suspended"
"Latin American applied research", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0327-0793&lng=en", "Universidad Nacional del Sur y Consejo Nacional de Investigaciones Científicas y Técnicas", "deceased"
"Latin american journal of economics", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0719-0433&lng=en", "Pontificia Universidad Católica de Chile. Instituto de Economía.", "deceased"
"Latin American Journal of Fundamental Psychopathology On Line", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-0358&lng=en", "Associação Universitária de Pesquisa em Psicopatologia Fundamental", "suspended"
"Medicina Intensiva", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0210-5691&lng=en", "Elsevier España, S.L.", "suspended"
"Medicina Oral, Patología Oral y Cirugía Bucal (Ed. impresa)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1698-4447&lng=en", "Sociedad Española de Medicina Oral", "deceased"
"Medicina Oral, Patología Oral y Cirugía Bucal (Internet)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1698-6946&lng=en", "Sociedad Española de Medicina Oral", "suspended"
"Medifam", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1131-5768&lng=en", "Arán Ediciones, S. L.", "deceased"
"Metaphora", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2072-0696&lng=en", "Grupo de Estudios Psicoanalíticos de Guatemala", "deceased"
"Migración y desarrollo", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-7599&lng=en", "Red Internacional de Migración y Desarrollo", "suspended"
"Mnemosine", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-8894&lng=en", "Clio-Psyché - Programa de Estudos e Pesquisas em História da Psicologia da Universidade do Estado do Rio de Janeiro", "deceased"
"Mosaico", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1982-5471&lng=en", "Universidade Federal de Minas Gerais, Faculdade de Filosofia e Ciências Humanas, Centro Acadêmico de Psicologia", "deceased"
"Mudanças", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0104-3269&lng=en", "Universidade Metodista de São Paulo", "deceased"
"Neotropical Entomology", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1519-566X&lng=en", "Sociedade Entomológica do Brasil", "suspended"
"Neurocirugía", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1130-1473&lng=en", "Sociedad Española de Neurocirugía", "suspended"
"Norteamérica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-3550&lng=en", "UNAM, Centro de Investigaciones sobre América del Norte", "suspended"
"Ola financiera", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-1442&lng=en", "Universidad Nacional Autónoma de México, Facultad de Economía, División de Estudios de Posgrado, Instituto de Investigaciones", "suspended"
"Olivar", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4478&lng=en", "Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La PLata", "deceased"
"Oncología (Barcelona)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0378-4835&lng=en", "Alpe Editores, S.A.", "deceased"
"Online Brazilian Journal of Nursing", "http://revodonto.bvsalud.org/scielo.php?script=sci_serial&pid=1676-4285&lng=en", "Escola de Enfermagem Aurora de Afonso Costa da Universidade Federal Fluminense", "suspended"
